Sr No,date,startup,vertical,subvertical,city,investors,round,amount
1,2020-01-09,Byju's,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1919.4
2,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,77.240437218
3,2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,176.18997942000001
4,2020-01-02,wealthbucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,28.791
5,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,17.2746
6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,86.373
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1439.55
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,57.582
9,2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,671.79
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Mumbai Angels,Seed,479.85
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Ravikanth Reddy,Seed,479.85
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,SAIF Partners,Series F,191.94
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Spring Canter Investment Ltd.,Series F,191.94
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Paytm,Series C,115.164
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,NPTK,Series C,115.164
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Sabre Partners and Neoplux,Series C,115.164
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,287.91
14,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Undiscolsed,Debt Funding,56.6223
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,19.194
16,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,479.85
17,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,2216.907
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Sequoia,Series H,1439.55
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,CapitalG,Series H,1439.55
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Accel,Series H,1439.55
19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Sauce.vc,Series B,4.664142
19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Rainforest Ventures,Series B,4.664142
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Prime Venture Partners,Seed,14.3955
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,LetsVenture,Seed,14.3955
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,PS1 Venture and GlobalLogic co-founder Rajul Garg,Seed,14.3955
21,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0
22,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Daiwa Ventures,Series B,115.164
22,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Incubation,Series B,115.164
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,249.522
24,2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,167.095910205
25,2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,12.4761
26,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Altimeter Capital,Series C,1295.595
26,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Sutter Hill Ventures,Series C,1295.595
27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.8791
28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,2111.34
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans & van Haaren,Series B,151.6326
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,HealthQuad,Series B,151.6326
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Rebright Partners,Series B,151.6326
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Toppan Printing,Series B,151.6326
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Matrix Partners,Series B,2715.951
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Stellaris Venture Partners,Series B,2715.951
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Kalaari Capital,Series B,2715.951
31,2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Undisclosed,1919.4
32,2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,9597.0
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,431.865
34,2019-10-02,Udaan,B2B,Business development,Bengaluru,Altimeter Capital,Series D,5614.245
34,2019-10-02,Udaan,B2B,Business development,Bengaluru,DST Global,Series D,5614.245
35,2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0
36,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,Matrix Partners India,Maiden Round,43.1865
36,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,Sequoia India,Maiden Round,43.1865
37,2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,31.6701
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,57.582
39,2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,47.985
40,2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,172.746
41,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,9.597
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,95.97
43,2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,4318.65
44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,India Quotient,Series A,47.985
44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,Axilor Ventures,Series A,47.985
45,2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,191.94
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,47.985
47,2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Undiscolsed,Seed Funding Round,15.3552
48,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,Azim Premji,Single Venture,1343.58
48,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,Binny Bansal,Single Venture,1343.58
49,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,365.45376
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1199.625
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,105.567
52,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,489.447
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,355.089
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Rashmi Daga (founder,Seed Round,4.7985
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,FreshMenu),Seed Round,4.7985
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Raveen Sastry (co-founder,Seed Round,4.7985
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Myntra) and Mitesh Shah (finance chief,Seed Round,4.7985
54,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,BookMyShow),Seed Round,4.7985
55,2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,1055.67
56,2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,143.955
57,2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,63.24423
58,2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,9.597
59,2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,671.79
61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,37428.3
62,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,Lok Capital,Series B,182.343
62,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,IIFL Wealth,Series B,182.343
63,2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,23.9925
64,2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.391565
65,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,DIG Investment Ab,Series J,9.597
65,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,Deshe Holdings,Series J,9.597
65,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,Samih Toukan and Hussam Khoury,Series J,9.597
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,365.45376
67,2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.7985
68,2019-07-10,Byju's,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1439.55
69,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Composite Capital Management,Series D,575.82
69,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Sequoia Capital India,Series D,575.82
69,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Tiger Global Management,Series D,575.82
70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,153.552
71,2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,55.18275
72,2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,23.9925
73,2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,9.597
74,2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,3.067249185
75,2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,489.447
76,2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,95.97
77,2019-06-03,FabHotels,E-Commerce,Hospitality,Gurgaon,Goldman Sachs,Undisclosed,4692.9095257379995
77,2019-06-03,FabHotels,E-Commerce,Hospitality,Gurgaon,Accel Partners and Qualcomm,Undisclosed,4692.9095257379995
78,2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,86.373
79,2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,719.775
80,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,Triton Investment Advisors,pre-Series A,249.522
80,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,Pidilite Industries director Ajay Parekh,pre-Series A,249.522
81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,23.9925
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,Shell Foundation,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,DILA CAPITAL,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,Engie RDE Fund,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,EcoEnterprise Fund,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,EDFIMC (ElectriFI),Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,Endeavor Catalyst Fund,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,CoCapital,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,Triodos,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,Alpha Mundi,Undisclosed,2628.651582396
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,and Lendahand,Undisclosed,2628.651582396
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,249.522
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,14500.58715
85,2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,4.1286294
86,2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,148.7535
87,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,499.044
88,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,34.395648
89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,32.6298
90,2019-05-06,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0
91,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,8.3359542
92,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Indian Angel Network and other angel investors,Bridge Round,0.0
92,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Innov8 founder Ritesh Malik,Bridge Round,0.0
92,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,Josh Talks founders Supriya Paul and Shobha Banga,Bridge Round,0.0
92,2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,and former Hero Corporate president Rohit Chanana,Bridge Round,0.0
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Goldman Sachs Investment Partners and Silicon Valley-based Accel,Series D,1439.55
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Wellington,Series D,1439.55
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Sequoia Capital,Series D,1439.55
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,B Capital,Series D,1439.55
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,LightStreet,Series D,1439.55
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,Sands Capital and International Finance Corporation,Series D,1439.55
93,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,,Series D,1439.55
94,2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,479.85
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,489.447
96,2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1343.58
97,2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,Korea Investment Partners,Series B,110.3655
97,2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,Vertex Ventures,Series B,110.3655
98,2019-05-31,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,53.7432
99,2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,431.865
100,2019-04-12,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,163.149
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,Unilever,Private Equity,4.133092005
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,Beehive Capital Advisor,Private Equity,4.133092005
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,ABCOM Investments,Private Equity,4.133092005
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,Parekh Marine Transport,Private Equity,4.133092005
101,2019-04-10,Kabadiwala,E-commerce,Waste Management,Bhopal,,Private Equity,4.133092005
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Orchid India,Series B,34.466425875
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Hornbill Orchid India Fund,Series B,34.466425875
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Chiratae Ventures (formerly IDG Ventures),Series B,34.466425875
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,3one4 Capital,Series B,34.466425875
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,Lasmer NV,Series B,34.466425875
103,2019-04-12,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,1.9194
104,2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,33.5895
105,2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,60.66090954
106,2019-04-10,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,23.450221515
107,2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.946279
108,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Sequoia India,Series B,249.522
108,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Tiger Global Management,Series B,249.522
108,2019-04-11,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Accel Partners,Series B,249.522
109,2019-04-19,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,28.791
110,2019-04-19,KrazyBee,E-commerce,Lending Platform,Bengaluru,BAC Acquisitions,Debt,137.640174
110,2019-04-19,KrazyBee,E-commerce,Lending Platform,Bengaluru,Unifi AIF,Debt,137.640174
110,2019-04-19,KrazyBee,E-commerce,Lending Platform,Bengaluru,BRD Securities,Debt,137.640174
110,2019-04-19,KrazyBee,E-commerce,Lending Platform,Bengaluru,Northern R Capital,Debt,137.640174
111,2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,47.985
112,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,021 Capita,Series A,28.791
112,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,Binny Bansal,Series A,28.791
113,2019-02-01,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVentures Angel Fund,Pre Series A,0.0
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,Sequoia Capital and Temasek Holdings,Series D,2168.922
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,EDBI,Series D,2168.922
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,Burda Principal Investments,Series D,2168.922
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,and Sofina,Series D,2168.922
115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,LetsVenture,Series A,5.7582
115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,PitchRight Venture,Series A,5.7582
115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,91SpringBoard,Series A,5.7582
115,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,AL Nour International Holdings and Mark V Investments,Series A,5.7582
116,2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,959.7
117,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,Sequoia India,Series C,1055.67
117,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,Hillhouse Capital,Series C,1055.67
117,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,Alphabets growth investment arm Capital G and Axis Bank,Series C,1055.67
118,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Iron Pillar,Series D,211.134
118,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Perceptive Advisors,Series D,211.134
118,2019-01-04,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Romulus Capital and Kalaari Capital,Series D,211.134
119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,MASSIF,Debt-Funding,47.985
119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,a Dutch government fund,Debt-Funding,47.985
120,2018-12-04,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,6.7179
121,2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,479.85
122,2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,7.6776
123,2018-12-02,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,5.489484
124,2018-12-04,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.372371
125,2018-12-06,ShopKirana,B2B,eCommerce,Indore,Info Edge,Seed Funding,19.194
125,2018-12-06,ShopKirana,B2B,eCommerce,Indore,AET Fund,Seed Funding,19.194
125,2018-12-06,ShopKirana,B2B,eCommerce,Indore,Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,Seed Funding,19.194
126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,Venture Highway,Series A,33.5895
126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,GREE Ventures,Series A,33.5895
126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,Space Matrix,Series A,33.5895
126,2018-12-06,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,Individual Investors,Series A,33.5895
127,2018-11-01,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,1.333935015
128,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,Norwest Venture Partners,Series D,266.787003
128,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,CDC Group,Series D,266.787003
128,2018-11-03,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,the UKs Development Finance Institution and P Surendra Pai,Series D,266.787003
129,2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,Shunwei Capital,Series C,479.85
129,2018-11-06,Meesho,Ecommerce,Social Commerce,Bengaluru,DST Partners and RPS Ventures,Series C,479.85
130,2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4.7985
131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,RB Investments,Equity,9.597
131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,Singapore,Equity,9.597
132,2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,9.597
133,2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,12.4761
134,2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,9.597
135,2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,4.7985
136,2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,2879.1
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,Sistema Asia Fund,Series B (Extension),57.582
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,VC Samsung NEXT,Series B (Extension),57.582
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,Chiratae Ventures,Series B (Extension),57.582
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,Inventus Capital,Series B (Extension),57.582
137,2018-11-20,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,Blume Ventures and Innoven Capital.,Series B (Extension),57.582
138,2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,2.667966
139,2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,297.507
140,2018-11-22,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,0.0
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,Stellaris Venture Partners and Kalaari Capital,Series A,32.6298
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,Rajan Anandan from Google,Series A,32.6298
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,Dilip Khandwelwal from SAP Labs India,Series A,32.6298
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,and Amrish Rau from PayU India,Series A,32.6298
142,2018-11-24,Engineer.ai,Software,AI Platform,India/US,Lakestar and Jungle Ventures,Series A,283.1115
142,2018-11-24,Engineer.ai,Software,AI Platform,India/US,Softbanks DeepCore.,Series A,283.1115
143,2018-11-25,InCred Finance,Finance,SME Lending,India,Paragon Partners,Private Equity,403.074
143,2018-11-25,InCred Finance,Finance,SME Lending,India,Individual Investors,Private Equity,403.074
144,2018-11-25,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,16.3149
145,2018-10-01,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0
146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,Cooperative Oikocredit,Seed/ Angel Funding,105.567
146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,Caspian and Hivos-Triodos Fund,Seed/ Angel Funding,105.567
147,2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,78.6954
148,2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,28.791
